模型,评测参数,Frame,结果,逻辑链Acc,相关性Acc,总Acc,Level 1,Level 2,Level 3,备注
Instruct Model,,,,,,,,,,
Qwen3vl-4B-Instruct,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,11.6,11.73932384341637,11.5004816955684,26.2,16.35057471264368,9.548192771084338,10.2610153256705,
Qwen3vl-4B-Instruct-w-sub,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,17.6,19.88582443653618,16.34152215799615,34.1,23.61042692939245,14.62349397590361,16.19252873563218,
Qwen3vl-8B-Instruct,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,12.4,11.12841043890866,13.15028901734104,27.9,15.36535303776683,12.464859437751,10.71599616858238,
Qwen3vl-8B-Instruct-sub,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,18.2,20.25207591933571,17.07610789980732,35.7,21.83908045977011,16.97791164658635,16.93247126436782,
Qwen3vl-30B-A3B-Instruct,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,7.8,6.662218268090154,8.465799614643545,21.3,9.250821018062398,7.712516733601071,7.09051724137931,
Qwen3vl-30B-A3B-Instruct-sub,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,16.8,18.96204033214709,15.69123314065511,33.2,18.03571428571428,17.64558232931727,15.56633141762452,
Qwen3-Omni-30B-A3B-Instruct,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 16384
repetition_penalty: 1.0
presence_penalty: 1.5",64.0,17.6,18.5349940688019,17.08815028901734,35.1,23.33128078817734,14.68708165997323,16.33261494252874,
Qwen3-Omni-30B-A3B-Instruct-wo-audio,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 16384
repetition_penalty: 1.0
presence_penalty: 1.5",64.0,10.9,9.181494661921707,11.80154142581888,27.0,15.01642036124795,10.22088353413655,8.941570881226053,
Qwen3-Omni-30B-A3B-Instruct-sub,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 16384
repetition_penalty: 1.0
presence_penalty: 1.5",64.0,17.1,18.27698695136418,16.47398843930636,34.1,21.66666666666666,14.9682061579652,15.97820881226054,
Qwen3-Omni-30B-A3B-Instruct-sub-wo-audio,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 16384
repetition_penalty: 1.0
presence_penalty: 1.5",64.0,18.0,18.72330960854093,17.60597302504817,36.1,23.57758620689655,16.29518072289157,15.96264367816092,
Qwen3-VL-235B-A22B-Instruct,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,16.5,14.24377224199289,17.71435452793834,33.8,20.64860426929392,16.75535475234271,13.88649425287356,
Qwen3-VL-235B-A22B-Instruct-w-sub,"temperature=0.7, 
max_new_tokens=16384,
repetition_penalty=1.0,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,25.0,25.02224199288256,25.03612716763006,43.3,30.72044334975369,25.19243641231593,21.59722222222221,
Qwen2_5-VL-7B-Instruct,"temperature: 0.01
top_p: 0.001
top_k: 1
max_tokens: 16384",64.0,10.3,8.793001186239621,11.07899807321773,25.3,14.67980295566502,9.315595716198127,8.394396551724139,
Qwen2_5-VL-7B-Instruct-sub,"temperature: 0.01
top_p: 0.001
top_k: 1
max_tokens: 16384",64.0,14.4,15.63167259786477,13.69219653179191,30.9,19.95484400656814,13.01706827309237,12.08812260536398,
Qwen2_5-VL-72B-Instruct,"temperature: 0.01
top_p: 0.001
top_k: 1
max_tokens: 16384",64.0,13.7,12.90628706998814,14.05346820809249,30.3,15.32224958949097,13.73493975903614,12.61494252873563,
Qwen2_5-VL-72B-Instruct-sub,"temperature: 0.01
top_p: 0.001
top_k: 1
max_tokens: 16384",64.0,22.1,24.27342823250297,20.94171483622351,38.9,25.83538587848933,21.20816599732262,20.58668582375479,
InternVL_3_5-4B-Instruct,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,9.9,8.403024911032029,10.69364161849711,24.6,13.53858784893268,9.218540829986612,8.239942528735632,
InternVL_3_5-4B-Instruct-sub,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,14.2,14.55367734282325,14.0655105973025,30.5,21.58251231527094,10.48862115127175,12.63409961685824,
InternVL3_5-8B-Instruct,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,11.4,9.435053380782918,12.4397880539499,26.0,14.78448275862069,10.75803212851406,9.849137931034482,
InternVL3_5-8B-Instruct-sub,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,16.4,17.09667852906287,16.05250481695568,32.4,21.5927750410509,15.34638554216867,14.16906130268199,
InternVL3_5-30B-A3B-Instruct,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,12.6,10.64501779359431,13.70423892100193,28.7,17.47742200328407,11.03915662650602,10.93989463601533,
InternVL3_5-30B-A3B-Instruct-sub,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 2048",64.0,16.6,17.95818505338078,15.88391136801541,34.2,21.55377668308703,14.51472556894244,15.23108237547893,
InternVL3_5-241B-A28B-Instruct,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 16384",64.0,15.8,13.22360616844603,17.17244701348747,32.9,18.11576354679803,16.30689424364123,14.0529214559387,
InternVL3_5-241B-A28B-Instruct-sub,"temperature: 1.0
top_k: 50
top_p: 1.0
max_tokens: 16384",64.0,23.1,22.51037959667853,23.3742774566474,41.4,28.17939244663383,23.72657295850067,19.62164750957854,
KimiVL-16B-A3B-Instruct,"temperature: 0.2
max_tokens: 2048",64.0,15.0,11.74377224199288,16.67870905587668,32.3,18.73768472906404,13.50903614457831,13.76077586206897,
KimiVL-16B-A3B-Instruct-sub,"temperature: 0.2
max_tokens: 2048",64.0,19.0,18.1806049822064,19.41233140655106,37.3,23.87110016420361,17.59036144578313,17.12045019157088,
MiMo-VL-7B-SFT-2508,"temperature: 0.3
top_k: 20
top_p: 0.95
max_tokens: 2024",64.0,10.7,9.655990510083038,11.21146435452794,24.6,14.32881773399015,9.579986613119143,9.304358237547893,
MiMo-VL-7B-SFT-2508-sub,"temperature: 0.3
top_k: 20
top_p: 0.95
max_tokens: 2024",64.0,14.7,15.81405693950178,14.08959537572254,31.2,19.76395730706076,13.22791164658635,12.78855363984674,
VideoLLaMA3-7B,"temperature: 0.7
top_k: 20
top_p: 0.8
max_tokens: 2048",64.0,10.9,8.186536180308421,12.29527938342967,25.7,15.79638752052545,9.233601070950469,9.125957854406131,
VideoLLaMA3-7B-sub,"temperature: 0.7
top_k: 20
top_p: 0.8
max_tokens: 2048",64.0,14.2,13.92052194543298,14.28227360308285,30.6,19.01888341543514,12.66064257028112,12.38745210727969,
LLaVA-Video-7B-Qwen2,"temperature: 0.7
top_k: 20
top_p: 0.8",64.0,7.2,4.774614472123369,8.477842003853565,19.9,12.67241379310345,5.590696117804551,5.106561302681992,
LLaVA-Video-7B-Qwen2-sub,"temperature: 0.7
top_k: 20
top_p: 0.8",64.0,9.7,9.002075919335706,9.910886319845858,24.0,15.88875205254516,7.384538152610442,7.497605363984674,
LLaVA-Video-72B-Qwen2,"temperature: 0.7
top_k: 20
top_p: 0.8
num_workers: 8
max_tokens: 1024",64.0,11.3,9.526986951364176,12.31936416184971,27.3,14.77011494252874,11.13286479250335,9.483955938697317,
LLaVA-Video-72B-Qwen2-sub,"temperature: 0.7
top_k: 20
top_p: 0.8
num_workers: 8
max_tokens: 1024",64.0,17.2,17.45848161328588,17.0640655105973,34.4,21.80008210180624,14.75234270414993,16.27394636015326,
Keye-VL-1_5-8B,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 2048",64.0,8.9,5.962336892052194,10.44075144508671,23.8,12.1551724137931,8.38186077643909,7.297653256704981,
Keye-VL-1_5-8B-sub,"temperature: 0.6
top_k: 20
top_p: 0.95
max_tokens: 2048",64.0,14.1,14.75385527876631,13.71628131021195,31.1,19.09688013136289,12.35441767068273,12.38984674329502,
Qwen3.5-4B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,9.5,9.062870699881376,9.778420038535646,24.1,11.876026272578,9.044511378848728,8.502155172413794,
Qwen3.5-4B-sub,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,15.4,16.73784104389086,14.61946050096339,32.3,17.63136288998358,16.05087014725569,13.54885057471264,
Qwen3.5-9B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,10.3,9.873962040332147,10.59730250481696,26.0,11.45525451559934,9.866131191432396,10.03591954022989,
Qwen3.5-9B-sub,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,18.3,21.19365361803084,16.71483622350674,35.5,20.68144499178982,17.59370816599732,17.38864942528735,
Qwen3.5-27B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,14.0,12.58451957295374,14.76396917148362,31.7,15.83743842364532,14.82262382864793,12.33596743295019,
Qwen3.5-27B-sub,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,23.9,24.80427046263345,23.43448940269749,41.9,28.92446633825944,23.23627844712182,21.47988505747126,
Qwen3.5-A3B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,11.3,9.40391459074733,12.35549132947977,28.6,13.66584564860427,11.32697456492637,9.943726053639846,
Qwen3.5-A3B-sub,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,19.9,22.7164887307236,18.4368978805395,36.9,24.21387520525452,18.64290495314592,18.37523946360153,
Qwen3.5-A10B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,12.5,11.11654804270463,13.29479768786127,29.5,14.8440065681445,12.89993306559572,10.91475095785441,
Qwen3.5-A10B-sub,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,20.9,22.39175563463819,20.08670520231214,39.2,24.86042692939245,21.7921686746988,17.94300766283525,
Qwen3.5-A17B,"temperature=0.7, 
max_new_tokens=40960,
presence_penalty=1.5,
top_p=0.8,
top_k=20",64.0,16.9,14.59816132858837,18.17196531791907,35.0,16.82471264367816,18.06726907630522,16.147030651341,
